x,y
0,1
0.7728,1
0.8029,0.99492
1.2575,0.99492
1.3027,0.98858
1.742,0.98731
1.8327,0.97843
2.5297,0.978
2.5446,0.97335
2.6204,0.97335
2.6354,0.96827
3.2566,0.96827
3.3018,0.95939
3.5439,0.94924
3.5442,0.94924
3.6045,0.94924
3.6646,0.93147
3.6649,0.93147
3.7252,0.9302
3.7552,0.92005
3.8006,0.91878
3.8307,0.91244
3.876,0.90863
4.1183,0.90482
4.1184,0.90482
4.7091,0.90102
4.7847,0.89467
4.8753,0.88452
5.148,0.88452
5.1933,0.87817
5.3145,0.87817
5.4356,0.87437
5.4957,0.85787
5.526,0.85787
5.5406,0.8401
5.6005,0.81726
5.6012,0.81726
5.6455,0.80203
6.1455,0.80076
6.1604,0.79442
6.4635,0.79442
6.4784,0.78807
7.251,0.78299
7.2512,0.78299
7.2956,0.75635
7.3116,0.75635
7.3555,0.73223
7.3563,0.73223
7.4313,0.73223
7.4461,0.72081
7.4909,0.70051
7.5067,0.70051
7.627,0.69036
7.6273,0.69036
8.4603,0.69036
8.4903,0.68147
8.8994,0.68147
8.9446,0.67259
8.9749,0.67259
9.0049,0.66244
9.0958,0.66244
9.1558,0.64086
9.2308,0.61802
9.2316,0.61802
9.3369,0.61675
9.3663,0.58883
10.4116,0.58122
10.4269,0.55
10.8509,0.55
10.9264,0.548
11.0622,0.548
11.0931,0.547
11.1834,0.547
11.2287,0.54695
12.7287,0.54569
12.7588,0.53934
12.8799,0.53807
12.9251,0.52919
12.9857,0.52792
13.0004,0.51396
14.6823,0.51396
14.7275,0.50635
14.8335,0.50635
14.84,0.5
14.9089,0.49492
15.4996,0.48604
16.5147,0.48604
16.5898,0.4632
17.817,0.46066
17.8471,0.45431
17.938,0.45305
17.9679,0.44162
18.377,0.44162
18.3916,0.41
18.7098,0.41
18.7246,0.409
20.2397,0.40863
20.2544,0.39594
20.7994,0.37944
20.7998,0.37944
21.9806,0.36041
21.9812,0.36041
22.1169,0.35787
22.1314,0.33503
24.9344,0.33376
24.9774,0.25
25.932,0.25
