characteristics,trial,arm,mean,sd,type,n
sex_female,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.4140625,NA,categorical,256
sex_male,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.5859375,NA,categorical,256
race_white,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.94921875,NA,categorical,256
race_race_other,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.05078125,NA,categorical,256
geo_europe,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.79296875,NA,categorical,256
geo_north_americas,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.05078125,NA,categorical,256
geo_other,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.15625,NA,categorical,256
ecog_ecog_0,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.7578125,NA,categorical,256
ecog_ecog_1,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.2421875,NA,categorical,256
age_above_54,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.5,NA,categorical,256
baseline_met_stage_m1b,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.22265625,NA,categorical,256
baseline_met_stage_m01a,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.21484375,NA,categorical,256
baseline_met_stage_m1c1d,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.5625,NA,categorical,256
ldh_cat_ldh_great_uln,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.328125,NA,categorical,256
ldh_cat_ldh_lower_equal_uln,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.671875,NA,categorical,256
bmhist_history_of_brain_metastases,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.01953125,NA,categorical,256
bmhist_no_history_of_brain_metastases,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.98046875,NA,categorical,256
immunotherapy,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.16015625,NA,categorical,256
tum_burd_less_44,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.42578125,NA,categorical,256
tum_burd_great_44,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.57421875,NA,categorical,256
tum_burd_miss,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0,NA,categorical,256
ORR_investigator,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.6640625,NA,categorical,256
AE_any,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,1,NA,categorical,256
AE_g3,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.748917749,NA,categorical,231
AE_disc,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.380952381,NA,categorical,231
ae_rash,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.454545455,NA,categorical,231
ae_diarrhoea,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.502164502,NA,categorical,231
ae_fatigue,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.303030303,NA,categorical,231
ae_arthralgia,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.445887446,NA,categorical,231
ae_pruritus,IMspire150 (Ascierto 2022),Atezolizumab + vemurafenib + cobimetinib,0.281385281,NA,categorical,231
