characteristics,trial,arm,mean,sd,type,n
sex_female,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.401041667,NA,categorical,192
sex_male,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.598958333,NA,categorical,192
race_white,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
race_race_other,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
geo_australia_new_zealand,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
geo_europe,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
geo_north_americas,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
geo_other,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
ethnicity_hispanic_latino,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
ethnicity_not_hispanic_latino,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
smoke_current_former_smoker,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
smoke_never_smoked,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
ecog_ecog_0,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.708333333,NA,categorical,192
ecog_ecog_1,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.291666667,NA,categorical,192
ecog_missing,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0,NA,categorical,192
baseline_met_stage_m0,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.046875,NA,categorical,192
baseline_met_stage_m1a,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.135416667,NA,categorical,192
baseline_met_stage_m1b,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.177083333,NA,categorical,192
baseline_met_stage_m1c,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.640625,NA,categorical,192
baseline_met_stage_m1d,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0,NA,categorical,192
baseline_met_stage_m01a,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.182291667,NA,categorical,192
baseline_met_stage_m01a1b,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.359375,NA,categorical,192
baseline_met_stage_m1c1d,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.640625,NA,categorical,192
ldh_cat_ldh_great_uln,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.286458333,NA,categorical,192
ldh_cat_ldh_lower_equal_uln,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.713541667,NA,categorical,192
ldh_cat2_ldh_great_2xuln,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
bmhist_history_of_brain_metastases,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
bmhist_no_history_of_brain_metastases,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
