characteristics,trial,arm,mean,sd,type,n
sex_female,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.43339254,NA,categorical,563
sex_male,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.56660746,NA,categorical,563
race_white,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.99,NA,categorical,563
race_race_other,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0,NA,categorical,563
geo_australia_new_zealand,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
geo_europe,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
geo_north_americas,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
geo_other,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
ethnicity_hispanic_latino,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
ethnicity_not_hispanic_latino,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
smoke_current_former_smoker,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
smoke_never_smoked,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
ecog_ecog_0,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.715808171,NA,categorical,563
ecog_ecog_1,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.275310835,NA,categorical,563
ecog_missing,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.008880995,NA,categorical,563
baseline_met_stage_m0,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.03374778,NA,categorical,563
baseline_met_stage_m1a,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.13321492,NA,categorical,563
baseline_met_stage_m1b,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.186500888,NA,categorical,563
baseline_met_stage_m1c,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.644760213,NA,categorical,563
